,Seq,Action,Status,ActionDateTime,Data,Tag,MediaId,UserId,Username,FullName,FriendShipStatus
11,3,StoryView,1,,,StoryView love__rose92,"['2323981517061095965_367808848_367808848', '2323998024240743300_367808848_367808848', '2324038697361842503_367808848_367808848', '2324157115842809514_367808848_367808848', '2324296428309421045_367808848_367808848', '2324296586224844370_367808848_367808848', '2324298018964278030_367808848_367808848']",367808848,love__rose92,Save In Yourself Humanity 🙏🏻,"['1591260206_1591304573', '1591262075_1591304573', '1591267020_1591304573', '1591281139_1591304573', '1591297742_1591304573', '1591297764_1591304573', '1591297936_1591304573']"
12,2,Follow,1,,,model,2322812221660358302,422588058,isa.hms,𝐁 𝐄 𝐋 𝐋 𝐀 🕊,False
13,2,Comment,1,,,makeup,2322757020502765291,2027734944,agata_wasacz,Agata Wąsacz,False
14,4,UnFollow,1,,,cajsawessberg,,342175866,cajsawessberg,Cajsa Wessberg,
15,3,Follow,1,,,jewllery,2288080966853237450,25722953942,johanbydesign,Johan,False
16,5,UnFollow,1,,,thegreatplanet,,349855584,thegreatplanet,The Great Planet ™,
17,4,Follow,1,,,jewllery,2321204884786732405,22352430,styledbyfawn,FASHION BLOGGER | Emily,False
18,3,Comment,1,,,hairstyle,2322755515082126944,543009805,malu_tkm,Malu Oliveira,False
19,4,StoryView,1,,,StoryView lindamariie,"['2323643047333534441_3409113_3409113', '2323643581635850598_3409113_3409113', '2323647095296680412_3409113_3409113', '2323979504661230970_3409113_3409113', '2324027766460566002_3409113_3409113', '2324091840663381987_3409113_3409113', '2324091906715126292_3409113_3409113', '2324135747592145090_3409113_3409113', '2324194662465623954_3409113_3409113', '2324194888219829836_3409113_3409113', '2324195197943872988_3409113_3409113', '2324234564194828673_3409113_3409113', '2324234710047528011_3409113_3409113', '2324237991092414991_3409113_3409113', '2324252465318278173_3409113_3409113', '2324252970496940514_3409113_3409113']",3409113,lindamariie,LINDA-MARIE NILSSON,"['1591219851_1591304588', '1591219919_1591304588', '1591220338_1591304588', '1591259966_1591304588', '1591265717_1591304588', '1591273328_1591304588', '1591273334_1591304588', '1591278590_1591304588', '1591285613_1591304588', '1591285640_1591304588', '1591285676_1591304588', '1591290370_1591304588', '1591290387_1591304588', '1591290773_1591304588', '1591292504_1591304588', '1591292564_1591304588']"
20,6,UnFollow,1,,,433nl,,1471463785,433nl,433NL,
21,4,Comment,1,,,vintage,2322795720113540524,5372761770,ahsen.aykan,Nergiz,False
22,5,Like,1,,,fashionista,2322774954304905746,498276235,cereenalkurt,Ceren Alkurt,False
23,7,UnFollow,1,,,kleinfeldbridal,,11430034,kleinfeldbridal,Kleinfeld Bridal,
24,5,Follow,1,,,hairstyle,2322709583755630018,210396994,karolaracino,Karolina Racinowska-Sączawa,False
25,5,StoryView,1,,,StoryView leragoldd,"['2323831875376726817_10671107_10671107', '2323832159876289043_10671107_10671107', '2323831916648621460_10671107_10671107', '2323831894804635697_10671107_10671107', '2323835251891935864_10671107_10671107', '2323835232766030608_10671107_10671107', '2323835271957697843_10671107_10671107', '2323835204328646220_10671107_10671107', '2323836727909500802_10671107_10671107', '2323836748016954600_10671107_10671107', '2323836759568717257_10671107_10671107', '2324038972240309233_10671107_10671107', '2324042717107872815_10671107_10671107']",10671107,leragoldd,АВСТРАЛИЯ ОКЕАН МЕЧТЫ,"['1591242361_1591304602', '1591242362_1591304602', '1591242363_1591304602', '1591242364_1591304602', '1591242734_1591304602', '1591242735_1591304602', '1591242736_1591304602', '1591242737_1591304602', '1591242941_1591304602', '1591242942_1591304602', '1591242943_1591304602', '1591267052_1591304602', '1591267368_1591304602']"
26,8,UnFollow,1,,,grzegorzjasica,,7744501969,grzegorzjasica,Grzegorz Jasica,
27,6,Follow,1,,,ootd,2322784590584270252,4192344205,ozlemozyrttt,,False
28,5,Comment,1,,,newyork,2324334880229547161,18266933,oddisee,Oddisee,False
29,6,Like,1,,,makeup,2322782704491203147,555959403,luanamelo_makeup,L U A N A   M E L O 🇧🇷 🇺🇾 🇵🇪,False
30,6,Comment,1,,,newyork,2324324767584429160,29194579,forevercurlybri,,False
31,7,Comment,1,,,newyork,2324326055321916655,16476657,joeyhealybrows,ᴊᴏᴇʏ ʜᴇᴀʟʏ,False
32,9,UnFollow,1,,,watch_ors,,1716145902,watch_ors,,
33,10,UnFollow,1,,,arashtahami,,1086725875,arashtahami,Arash Tahami,
34,7,Like,1,,,lifestyle,2323886148050528158,4214543047,hisham_thansweeh_rockzz,☠_Hisham Thansweeh_☠,False
35,8,Like,1,,,lifestyle,2323876629558209314,3557181090,nasik__93,ناسك ,False
36,11,UnFollow,1,,,,,,,,
37,9,Like,1,,,vintage,2322742319708887794,407504130,oksana_orehhova,OKSANA,False
38,8,Comment,1,,, london,2324343586117803111,10391603,jack_maynard,Jack Maynard,False
39,12,UnFollow,1,,,,,,,,
40,7,Follow,1,,,ootd,2322814159999771729,8033637936,mademoiselle_grdcls,MADEMOISELLE_GRDCLS 🦋,False
41,10,Like,1,,,musically,2324195455824867255,6312935345,rahul____25,Rahul  راہول  ♠,False
42,8,Follow,1,,,streetstyle,2324261129752641438,3086948504,melissayucekaya,Melisa ♡,False
43,13,UnFollow,1,,,,,,,,
